,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,0.2269,0.0349,0.0425,0.1245,0.0736,0.2118,0.02798,-0.08129,0.09969,-0.01523,0.16962,-0.02636,0.4896,0.0754,-0.348363,0.024874,1.32034,145.15668,666.8635,1228.13771,1.202416089,102.14,84.6,0.5377,-4.4944,12.6124,0.8008,-0.3582,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,1,97
1,0.2269,0.0349,0.0425,0.1245,0.0736,0.2118,0.02798,-0.08129,0.09969,-0.01523,0.16962,-0.02636,0.4896,0.0754,-0.348363,0.024874,1.32034,145.15668,666.8635,1228.13771,1.202416089,102.14,84.6,0.5377,-4.4944,12.6124,0.8008,-0.3582,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.370932141,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,1,97
2,0.2269,0.0349,0.0425,0.1245,0.0736,0.2118,0.02798,-0.08129,0.09969,-0.01523,0.16962,-0.02636,0.4896,0.0754,-0.348363,0.024874,1.32034,145.15668,666.8635,1228.13771,1.202416089,102.14,84.6,0.5377,-4.4944,12.6124,0.8008,-0.3582,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.247552,-0.022351,0.488462,639.72002,2046.12369,5163.15288,1.416351682,227.19,345.79,0.36256337,-3.6545,7.1411,0.9351,2.385,1,96
3,0.2353,-0.0163,0.0472,0.0046,0.0434,0.0049,-0.01688,0.34407,0.00475,0.06908,0.0051,0.06345,0.7517,-0.052,-0.281452,-0.042182,2.028446,239.24438,984.02685,1972.0265,1.29394056,101.48,174.08,0.6461,-4.2018,8.5165,1.0365,1.4625,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,1,97
4,0.2353,-0.0163,0.0472,0.0046,0.0434,0.0049,-0.01688,0.34407,0.00475,0.06908,0.0051,0.06345,0.7517,-0.052,-0.281452,-0.042182,2.028446,239.24438,984.02685,1972.0265,1.29394056,101.48,174.08,0.6461,-4.2018,8.5165,1.0365,1.4625,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.370932141,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,1,98
5,0.2353,-0.0163,0.0472,0.0046,0.0434,0.0049,-0.01688,0.34407,0.00475,0.06908,0.0051,0.06345,0.7517,-0.052,-0.281452,-0.042182,2.028446,239.24438,984.02685,1972.0265,1.29394056,101.48,174.08,0.6461,-4.2018,8.5165,1.0365,1.4625,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.247552,-0.022351,0.488462,639.72002,2046.12369,5163.15288,1.416351682,227.19,345.79,0.36256337,-3.6545,7.1411,0.9351,2.385,1,97
6,0.221,0.0289,0.0425,0.1423,0.0425,0.1423,0.01895,-0.05301,0.09334,-0.0102,0.09335,-0.0102,0.4767,0.0623,-0.344014,0.049288,1.321358,217.26256,957.05316,1903.23563,1.288616133,82.64,185.36,0.3784,-4.0683,12.6126,0.6561,-0.2399,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,1,95
7,0.221,0.0289,0.0425,0.1423,0.0425,0.1423,0.01895,-0.05301,0.09334,-0.0102,0.09335,-0.0102,0.4767,0.0623,-0.344014,0.049288,1.321358,217.26256,957.05316,1903.23563,1.288616133,82.64,185.36,0.3784,-4.0683,12.6126,0.6561,-0.2399,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.370932141,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,1,98
8,0.221,0.0289,0.0425,0.1423,0.0425,0.1423,0.01895,-0.05301,0.09334,-0.0102,0.09335,-0.0102,0.4767,0.0623,-0.344014,0.049288,1.321358,217.26256,957.05316,1903.23563,1.288616133,82.64,185.36,0.3784,-4.0683,12.6126,0.6561,-0.2399,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.247552,-0.022351,0.488462,639.72002,2046.12369,5163.15288,1.416351682,227.19,345.79,0.36256337,-3.6545,7.1411,0.9351,2.385,1,98
9,0.0601,0.0266,0.0174,0.0824,0.0174,0.0824,0.03806,-0.00058,0.11788,-0.00017,0.11788,-0.00017,0.1692,0.0749,-0.335552,-0.051718,1.044006,147.1311,603.07986,1122.41831,1.154660225,92.44,76.44,0.5615,-5.2598,9.6698,1.4305,-0.0096,0.0014,0.002,0,-0.0003,0.0025,0.0044,0.0123,0.019,-0.0078,-0.0005,0.00155,0.00188,-0.00022,-5.00E-05,0.00335,0.00334,0.01445,0.01648,-0.00037,-0.01044,0.0041,0.006,0.005,-0.0001,-0.0009,-0.0005,0.0072,0.0128,0.01,0.0358,0.0554,0.0456,-0.0226,-0.0014,-0.012,-0.285887,0.008921,0.6218,388.4566,1549.79978,3288.20325,1.449280229,168.01,265.97,0.3978,-3.7682,9.3483,0.7594,1.3418,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,1,96
